vendor_id,vendor_name,country,vendor_category,registration_date,monthly_spend,rating
1,Acme Manufacturing,USA,Electronics,2023-01-15,150000.00,4.5
2,Global Supplies Ltd,UK,Hardware,2023-02-20,120000.00,4.2
3,Tech Components Inc,China,Electronics,2023-03-10,200000.00,3.8
4,Quality Metals Corp,Germany,Metals,2023-04-05,180000.00,4.7
5,Swift Logistics Co,India,Logistics,2023-05-12,90000.00,4.1
6,Premium Parts Ltd,Japan,Parts,2023-06-18,220000.00,4.6
7,Standard Materials,USA,Materials,2023-07-25,110000.00,3.9
8,EuroTrade GmbH,Germany,Trading,2023-08-30,160000.00,4.3
9,Pacific Distributors,Singapore,Distribution,2023-09-14,140000.00,4.4
10,Northern Suppliers,Canada,Supplies,2023-10-22,130000.00,4.0
